Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest
0 days 02:23:19.102000,PIA,0 days 00:01:36.459000,46.0,3.0,HARD,11.0,1,False
0 days 02:24:55.806000,PIA,0 days 00:01:36.704000,47.0,3.0,HARD,12.0,1,False
0 days 02:26:32.686000,PIA,0 days 00:01:36.880000,48.0,3.0,HARD,13.0,1,False
0 days 02:28:09.803000,PIA,0 days 00:01:37.117000,49.0,3.0,HARD,14.0,1,False
0 days 02:29:46.934000,PIA,0 days 00:01:37.131000,50.0,3.0,HARD,15.0,1,False
0 days 02:31:24.165000,PIA,0 days 00:01:37.231000,51.0,3.0,HARD,16.0,1,False
0 days 02:33:01.960000,PIA,0 days 00:01:37.795000,52.0,3.0,HARD,17.0,1,False
0 days 02:34:38.977000,PIA,0 days 00:01:37.017000,53.0,3.0,HARD,18.0,1,False
0 days 01:05:07.484000,NOR,,1.0,1.0,MEDIUM,1.0,124,False
0 days 01:07:50.912000,NOR,,2.0,1.0,MEDIUM,2.0,4,False
0 days 01:10:35.932000,NOR,,3.0,1.0,MEDIUM,3.0,4,False
0 days 01:13:30.498000,NOR,,4.0,1.0,MEDIUM,4.0,41,False
0 days 01:15:08.158000,NOR,0 days 00:01:37.660000,5.0,1.0,MEDIUM,5.0,1,True
0 days 01:16:46.316000,NOR,0 days 00:01:38.158000,6.0,1.0,MEDIUM,6.0,1,False
0 days 01:18:24.710000,NOR,0 days 00:01:38.394000,7.0,1.0,MEDIUM,7.0,1,False
0 days 01:20:03.216000,NOR,0 days 00:01:38.506000,8.0,1.0,MEDIUM,8.0,1,False
0 days 01:21:41.794000,NOR,0 days 00:01:38.578000,9.0,1.0,MEDIUM,9.0,1,False
0 days 01:23:20.806000,NOR,0 days 00:01:39.012000,10.0,1.0,MEDIUM,10.0,1,False
0 days 01:24:59.875000,NOR,0 days 00:01:39.069000,11.0,1.0,MEDIUM,11.0,1,False
0 days 01:26:39.088000,NOR,0 days 00:01:39.213000,12.0,1.0,MEDIUM,12.0,12,False
0 days 01:28:18.244000,NOR,0 days 00:01:39.156000,13.0,1.0,MEDIUM,13.0,1,False
0 days 01:30:21.841000,NOR,0 days 00:02:03.597000,14.0,1.0,MEDIUM,14.0,167,False
0 days 01:32:00.948000,NOR,0 days 00:01:39.107000,15.0,1.0,MEDIUM,15.0,1,False
0 days 01:33:40.174000,NOR,0 days 00:01:39.226000,16.0,1.0,MEDIUM,16.0,1,False
0 days 01:35:21.414000,NOR,0 days 00:01:41.240000,17.0,1.0,MEDIUM,17.0,1,False
0 days 01:37:19.537000,NOR,0 days 00:01:58.123000,18.0,2.0,HARD,1.0,1,False
0 days 01:38:56.226000,NOR,0 days 00:01:36.689000,19.0,2.0,HARD,2.0,1,True
0 days 01:40:34.002000,NOR,0 days 00:01:37.776000,20.0,2.0,HARD,3.0,1,False
0 days 01:42:11.555000,NOR,0 days 00:01:37.553000,21.0,2.0,HARD,4.0,1,False
0 days 01:43:49.201000,NOR,0 days 00:01:37.646000,22.0,2.0,HARD,5.0,1,False
0 days 01:45:27.265000,NOR,0 days 00:01:38.064000,23.0,2.0,HARD,6.0,1,False
0 days 01:47:05.402000,NOR,0 days 00:01:38.137000,24.0,2.0,HARD,7.0,1,False
0 days 01:48:43.774000,NOR,0 days 00:01:38.372000,25.0,2.0,HARD,8.0,1,False
0 days 01:50:22.567000,NOR,0 days 00:01:38.793000,26.0,2.0,HARD,9.0,1,False
0 days 01:51:59.969000,NOR,0 days 00:01:37.402000,27.0,2.0,HARD,10.0,1,False
0 days 01:53:37.988000,NOR,0 days 00:01:38.019000,28.0,2.0,HARD,11.0,1,False
0 days 01:55:15.745000,NOR,0 days 00:01:37.757000,29.0,2.0,HARD,12.0,1,False
0 days 01:56:53.782000,NOR,0 days 00:01:38.037000,30.0,2.0,HARD,13.0,1,False
0 days 01:58:31.482000,NOR,0 days 00:01:37.700000,31.0,2.0,HARD,14.0,1,False
0 days 02:00:09.927000,NOR,0 days 00:01:38.445000,32.0,2.0,HARD,15.0,1,False
0 days 02:01:47.879000,NOR,0 days 00:01:37.952000,33.0,2.0,HARD,16.0,1,False
0 days 02:03:25.882000,NOR,0 days 00:01:38.003000,34.0,2.0,HARD,17.0,1,False
0 days 02:05:03.742000,NOR,0 days 00:01:37.860000,35.0,2.0,HARD,18.0,1,False
0 days 02:06:43.848000,NOR,0 days 00:01:40.106000,36.0,2.0,HARD,19.0,1,False
0 days 02:08:40.629000,NOR,0 days 00:01:56.781000,37.0,3.0,HARD,1.0,1,False
0 days 02:10:16.632000,NOR,0 days 00:01:36.003000,38.0,3.0,HARD,2.0,1,True
0 days 02:11:52.604000,NOR,0 days 00:01:35.972000,39.0,3.0,HARD,3.0,1,True
0 days 02:13:27.851000,NOR,0 days 00:01:35.247000,40.0,3.0,HARD,4.0,1,True
0 days 02:15:03.674000,NOR,0 days 00:01:35.823000,41.0,3.0,HARD,5.0,1,False
0 days 02:16:39.518000,NOR,0 days 00:01:35.844000,42.0,3.0,HARD,6.0,1,False
0 days 02:18:15.570000,NOR,0 days 00:01:36.052000,43.0,3.0,HARD,7.0,1,False
0 days 02:19:51.629000,NOR,0 days 00:01:36.059000,44.0,3.0,HARD,8.0,1,False
0 days 02:21:27.707000,NOR,0 days 00:01:36.078000,45.0,3.0,HARD,9.0,1,False
0 days 02:23:04.085000,NOR,0 days 00:01:36.378000,46.0,3.0,HARD,10.0,1,False
0 days 02:24:40.496000,NOR,0 days 00:01:36.411000,47.0,3.0,HARD,11.0,1,False
0 days 02:26:17.083000,NOR,0 days 00:01:36.587000,48.0,3.0,HARD,12.0,1,False
0 days 02:27:54.811000,NOR,0 days 00:01:37.728000,49.0,3.0,HARD,13.0,1,False
0 days 02:29:31.753000,NOR,0 days 00:01:36.942000,50.0,3.0,HARD,14.0,1,False
0 days 02:31:08.494000,NOR,0 days 00:01:36.741000,51.0,3.0,HARD,15.0,1,False
0 days 02:32:45.204000,NOR,0 days 00:01:36.710000,52.0,3.0,HARD,16.0,1,False
0 days 02:34:21.959000,NOR,0 days 00:01:36.755000,53.0,3.0,HARD,17.0,1,False
0 days 01:05:11.031000,LEC,,1.0,1.0,MEDIUM,1.0,124,False
0 days 01:07:53.856000,LEC,,2.0,1.0,MEDIUM,2.0,4,False
0 days 01:10:40.195000,LEC,,3.0,1.0,MEDIUM,3.0,4,False
0 days 01:13:31.559000,LEC,,4.0,1.0,MEDIUM,4.0,41,False
0 days 01:15:10.364000,LEC,0 days 00:01:38.805000,5.0,1.0,MEDIUM,5.0,1,True
0 days 01:16:49.288000,LEC,0 days 00:01:38.924000,6.0,1.0,MEDIUM,6.0,1,False
0 days 01:18:28.381000,LEC,0 days 00:01:39.093000,7.0,1.0,MEDIUM,7.0,1,False
0 days 01:20:07.467000,LEC,0 days 00:01:39.086000,8.0,1.0,MEDIUM,8.0,1,False
0 days 01:21:46.550000,LEC,0 days 00:01:39.083000,9.0,1.0,MEDIUM,9.0,1,False
