Driver,Stint,Compound,TotalLaps,CleanLaps,FirstCleanLapTime,LastCleanLapTime,TotalDegradation_Seconds,DegradationPerLap_Seconds,LinearDegradationRate,AvgTrackTemp,AvgAirTemp,StartLap,EndLap
PER,2,HARD,33,31,76.535,106.451,29.915999999999997,0.965032258064516,0.23900766129032286,39.857575757575766,25.393939393939394,2,34
PER,3,MEDIUM,19,17,76.706,115.544,38.837999999999994,2.2845882352941174,1.3666985294117622,36.18421052631579,25.115789473684213,35,53
PER,4,INTERMEDIATE,3,1,105.055,105.055,0.0,0.0,0.0,33.2,24.366666666666664,54,56
PER,5,WET,13,11,101.082,118.066,16.98400000000001,1.5440000000000007,0.41193636363636466,28.21538461538461,23.33846153846154,58,70
PER,6,INTERMEDIATE,6,4,86.82,90.273,3.453000000000003,0.8632500000000007,1.880299999999992,30.416666666666668,23.86666666666667,71,76
ZHO,2,HARD,51,49,76.946,111.997,35.051,0.7153265306122449,0.11886642857142778,38.568627450980394,25.305882352941175,2,52
ZHO,3,INTERMEDIATE,25,23,106.545,86.615,-19.930000000000007,-0.8665217391304351,-0.9938883399209507,29.744000000000007,23.704,53,77
HUL,2,HARD,52,50,77.148,100.881,23.733000000000004,0.4746600000000001,0.11142597839135675,38.503846153846155,25.29423076923077,2,53
HUL,3,INTERMEDIATE,5,3,102.598,119.463,16.864999999999995,5.621666666666665,8.432499999999994,30.679999999999996,23.959999999999997,55,59
HUL,4,WET,17,15,98.291,90.26,-8.030999999999992,-0.5353999999999994,-0.4153428571428592,28.823529411764703,23.46470588235294,60,76
