Driver,Stint,Compound,TotalLaps,CleanLaps,FirstCleanLapTime,LastCleanLapTime,TotalDegradation_Seconds,DegradationPerLap_Seconds,LinearDegradationRate,AvgTrackTemp,AvgAirTemp,StartLap,EndLap
BEA,2,HARD,30,28,93.333,92.549,-0.7839999999999918,-0.02799999999999971,-0.04580979748221079,19.386666666666667,14.523333333333337,24,53
ALO,1,MEDIUM,23,21,94.61,97.548,2.9380000000000024,0.13990476190476203,0.03450389610389585,20.326086956521742,14.356521739130432,2,24
ALO,2,HARD,29,27,93.081,92.28,-0.8010000000000019,-0.029666666666666737,-0.04104700854700941,19.382758620689657,14.527586206896554,25,53
GAS,1,MEDIUM,23,21,94.708,96.90100000000001,2.193000000000012,0.10442857142857201,0.03579090909090932,20.326086956521742,14.360869565217389,2,24
GAS,2,HARD,28,26,92.911,93.169,0.25799999999999557,0.009923076923076753,-0.023264273504273902,19.375,14.532142857142858,26,53
TSU,1,MEDIUM,22,20,94.771,96.396,1.625,0.08125,0.0330451127819542,20.35909090909091,14.359090909090908,2,23
TSU,2,HARD,30,28,93.745,92.088,-1.6570000000000107,-0.05917857142857181,-0.04743185550082046,19.39,14.523333333333337,24,53
LAW,1,MEDIUM,32,30,95.098,96.455,1.3569999999999993,0.04523333333333331,-0.007113459399335219,20.1,14.40625,2,33
LAW,2,SOFT,20,18,93.39500000000001,93.243,-0.15200000000001523,-0.00844444444444529,0.02694117647058718,19.305,14.535000000000002,34,53
SAI,1,MEDIUM,32,30,94.765,96.256,1.4909999999999997,0.04969999999999999,-0.002934816462736242,20.1,14.40625,2,33
SAI,2,SOFT,20,18,91.106,91.238,0.132000000000005,0.007333333333333612,-0.021407636738904726,19.31,14.535000000000002,34,53
HUL,1,MEDIUM,21,19,95.26599999999999,96.739,1.4730000000000132,0.07752631578947437,-0.011303508771928995,20.376190476190477,14.357142857142858,2,22
HUL,2,HARD,31,29,96.862,92.804,-4.057999999999993,-0.13993103448275837,-0.030138423645318966,19.4,14.522580645161293,23,53
OCO,1,HARD,31,29,95.17,96.13499999999999,0.9649999999999892,0.03327586206896514,-0.022069950738916502,20.125806451612906,14.403225806451617,2,32
OCO,2,MEDIUM,21,19,92.84,93.106,0.26599999999999113,0.013999999999999534,-0.00318947368421087,19.304761904761904,14.533333333333335,33,53
DOO,1,SOFT,14,12,95.344,97.25399999999999,1.9099999999999966,0.15916666666666637,0.05154545454544977,20.557142857142857,14.314285714285718,2,15
DOO,2,HARD,38,36,93.602,92.96000000000001,-0.6419999999999959,-0.01783333333333322,-0.022610682110681603,19.518421052631584,14.502631578947373,16,53
STR,1,SOFT,8,6,95.161,97.946,2.7849999999999966,0.4641666666666661,0.38725714285714236,20.724999999999998,14.3,2,9
STR,2,HARD,21,19,95.243,95.97200000000001,0.7290000000000134,0.03836842105263229,-0.0187807017543835,19.95714285714286,14.414285714285716,10,30
STR,3,MEDIUM,22,20,92.456,92.05199999999999,-0.4040000000000106,-0.02020000000000053,-0.010731578947370353,19.318181818181817,14.536363636363639,31,52
BOR,1,HARD,30,28,94.968,97.48400000000001,2.5160000000000053,0.08985714285714305,-0.016417624521071938,20.150000000000002,14.39666666666667,2,31
BOR,2,MEDIUM,22,20,93.184,92.949,-0.23499999999999943,-0.011749999999999972,-0.015645112781955454,19.30909090909091,14.536363636363639,32,53
