Driver,Stint,Compound,TotalLaps,CleanLaps,FirstCleanLapTime,LastCleanLapTime,TotalDegradation_Seconds,DegradationPerLap_Seconds,LinearDegradationRate,AvgTrackTemp,AvgAirTemp,StartLap,EndLap
ZHO,3,MEDIUM,21,19,89.081,90.327,1.2459999999999951,0.06557894736842079,0.08753508771929647,31.12380952380952,26.5,38,58
ALB,1,MEDIUM,15,13,91.59100000000001,94.282,2.6909999999999883,0.2069999999999991,0.11097252747252771,32.873333333333335,26.90666666666667,2,16
ALB,2,HARD,27,25,90.57300000000001,92.175,1.6019999999999897,0.06407999999999958,0.005786153846153282,31.85555555555555,26.63333333333334,17,43
ALB,3,HARD,15,13,88.694,88.67,-0.02400000000000091,-0.0018461538461539161,-0.0073021978021959874,31.040000000000006,26.46666666666666,44,58
MAG,1,MEDIUM,4,2,91.593,93.881,2.2879999999999967,1.1439999999999984,2.287999999999984,33.375,27.025,2,5
MAG,2,HARD,17,15,90.312,94.337,4.025000000000006,0.2683333333333337,0.19171071428571246,32.61176470588235,26.78823529411764,6,22
MAG,3,HARD,35,33,90.592,91.256,0.6640000000000015,0.020121212121212165,0.0029819518716586307,31.42571428571428,26.557142857142857,23,57
SAR,1,MEDIUM,14,12,91.487,94.856,3.3689999999999998,0.28075,0.14225524475524634,32.91428571428572,26.921428571428574,2,15
SAR,2,HARD,26,24,91.295,92.696,1.4009999999999962,0.058374999999999844,0.0574243478260881,31.91153846153846,26.642307692307693,16,41
SAR,3,HARD,17,15,88.645,89.379,0.7340000000000089,0.048933333333333925,0.019785714285710108,31.08235294117647,26.47647058823529,42,58
