Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest
0 days 01:22:34.465000,ALO,0 days 00:01:50.005000,13.0,2.0,HARD,2.0,1,False
0 days 01:24:04.931000,ALO,0 days 00:01:30.466000,14.0,2.0,HARD,3.0,1,True
0 days 01:25:35.320000,ALO,0 days 00:01:30.389000,15.0,2.0,HARD,4.0,1,True
0 days 01:27:05.634000,ALO,0 days 00:01:30.314000,16.0,2.0,HARD,5.0,1,True
0 days 01:28:35.942000,ALO,0 days 00:01:30.308000,17.0,2.0,HARD,6.0,1,True
0 days 01:30:06.322000,ALO,0 days 00:01:30.380000,18.0,2.0,HARD,7.0,1,False
0 days 01:31:36.527000,ALO,0 days 00:01:30.205000,19.0,2.0,HARD,8.0,1,True
0 days 01:33:06.907000,ALO,0 days 00:01:30.380000,20.0,2.0,HARD,9.0,1,False
0 days 01:34:36.794000,ALO,0 days 00:01:29.887000,21.0,2.0,HARD,10.0,1,True
0 days 01:36:07.257000,ALO,0 days 00:01:30.463000,22.0,2.0,HARD,11.0,1,False
0 days 01:37:37.359000,ALO,0 days 00:01:30.102000,23.0,2.0,HARD,12.0,1,False
0 days 01:39:07.452000,ALO,0 days 00:01:30.093000,24.0,2.0,HARD,13.0,1,False
0 days 01:40:38.403000,ALO,0 days 00:01:30.951000,25.0,2.0,HARD,14.0,1,False
0 days 01:42:08.339000,ALO,0 days 00:01:29.936000,26.0,2.0,HARD,15.0,1,False
0 days 01:43:38.568000,ALO,0 days 00:01:30.229000,27.0,2.0,HARD,16.0,1,False
0 days 01:45:09.127000,ALO,0 days 00:01:30.559000,28.0,2.0,HARD,17.0,1,False
0 days 01:46:39.136000,ALO,0 days 00:01:30.009000,29.0,2.0,HARD,18.0,1,False
0 days 01:48:09.551000,ALO,0 days 00:01:30.415000,30.0,2.0,HARD,19.0,1,False
0 days 01:49:39.679000,ALO,0 days 00:01:30.128000,31.0,2.0,HARD,20.0,1,False
0 days 01:51:09.486000,ALO,0 days 00:01:29.807000,32.0,2.0,HARD,21.0,1,True
0 days 01:52:39.912000,ALO,0 days 00:01:30.426000,33.0,2.0,HARD,22.0,1,False
0 days 01:54:09.796000,ALO,0 days 00:01:29.884000,34.0,2.0,HARD,23.0,1,False
0 days 01:55:39.665000,ALO,0 days 00:01:29.869000,35.0,2.0,HARD,24.0,1,False
0 days 01:57:11.713000,ALO,0 days 00:01:32.048000,36.0,2.0,HARD,25.0,1,False
0 days 01:59:01.992000,ALO,0 days 00:01:50.279000,37.0,3.0,HARD,2.0,1,False
0 days 02:00:30.901000,ALO,0 days 00:01:28.909000,38.0,3.0,HARD,3.0,1,True
0 days 02:01:59.701000,ALO,0 days 00:01:28.800000,39.0,3.0,HARD,4.0,1,True
0 days 02:03:28.318000,ALO,0 days 00:01:28.617000,40.0,3.0,HARD,5.0,1,True
0 days 02:04:57.128000,ALO,0 days 00:01:28.810000,41.0,3.0,HARD,6.0,1,False
0 days 02:06:25.384000,ALO,0 days 00:01:28.256000,42.0,3.0,HARD,7.0,1,True
0 days 02:07:54.153000,ALO,0 days 00:01:28.769000,43.0,3.0,HARD,8.0,1,False
0 days 02:09:23.139000,ALO,0 days 00:01:28.986000,44.0,3.0,HARD,9.0,1,False
0 days 02:10:53.316000,ALO,0 days 00:01:30.177000,45.0,3.0,HARD,10.0,1,False
0 days 02:12:21.870000,ALO,0 days 00:01:28.554000,46.0,3.0,HARD,11.0,1,False
0 days 02:13:50.495000,ALO,0 days 00:01:28.625000,47.0,3.0,HARD,12.0,1,False
0 days 02:15:19.087000,ALO,0 days 00:01:28.592000,48.0,3.0,HARD,13.0,1,False
0 days 02:16:47.587000,ALO,0 days 00:01:28.500000,49.0,3.0,HARD,14.0,1,False
0 days 02:18:16.206000,ALO,0 days 00:01:28.619000,50.0,3.0,HARD,15.0,1,False
0 days 02:19:44.697000,ALO,0 days 00:01:28.491000,51.0,3.0,HARD,16.0,1,False
0 days 02:21:13.301000,ALO,0 days 00:01:28.604000,52.0,3.0,HARD,17.0,1,False
0 days 02:22:42.015000,ALO,0 days 00:01:28.714000,53.0,3.0,HARD,18.0,1,False
0 days 02:24:11.189000,ALO,0 days 00:01:29.174000,54.0,3.0,HARD,19.0,1,False
0 days 02:25:40.141000,ALO,0 days 00:01:28.952000,55.0,3.0,HARD,20.0,1,False
0 days 02:27:09.249000,ALO,0 days 00:01:29.108000,56.0,3.0,HARD,21.0,1,False
0 days 02:28:38.287000,ALO,0 days 00:01:29.038000,57.0,3.0,HARD,22.0,1,False
0 days 02:30:06.993000,ALO,0 days 00:01:28.706000,58.0,3.0,HARD,23.0,1,False
0 days 01:04:04.148000,HUL,,1.0,1.0,MEDIUM,1.0,1,False
0 days 01:05:37.069000,HUL,0 days 00:01:32.921000,2.0,1.0,MEDIUM,2.0,1,True
0 days 01:07:08.420000,HUL,0 days 00:01:31.351000,3.0,1.0,MEDIUM,3.0,1,True
0 days 01:08:39.794000,HUL,0 days 00:01:31.374000,4.0,1.0,MEDIUM,4.0,1,False
0 days 01:10:11.021000,HUL,0 days 00:01:31.227000,5.0,1.0,MEDIUM,5.0,1,True
0 days 01:11:42.122000,HUL,0 days 00:01:31.101000,6.0,1.0,MEDIUM,6.0,1,True
0 days 01:13:13.454000,HUL,0 days 00:01:31.332000,7.0,1.0,MEDIUM,7.0,1,False
0 days 01:14:44.954000,HUL,0 days 00:01:31.500000,8.0,1.0,MEDIUM,8.0,1,False
0 days 01:16:16.499000,HUL,0 days 00:01:31.545000,9.0,1.0,MEDIUM,9.0,1,False
0 days 01:17:48.082000,HUL,0 days 00:01:31.583000,10.0,1.0,MEDIUM,10.0,1,False
0 days 01:19:20.084000,HUL,0 days 00:01:32.002000,11.0,1.0,MEDIUM,11.0,1,False
0 days 01:20:51.911000,HUL,0 days 00:01:31.827000,12.0,1.0,MEDIUM,12.0,1,False
0 days 01:22:25.630000,HUL,0 days 00:01:33.719000,13.0,1.0,MEDIUM,13.0,1,False
0 days 01:24:16.373000,HUL,0 days 00:01:50.743000,14.0,2.0,HARD,1.0,1,False
0 days 01:25:46.506000,HUL,0 days 00:01:30.133000,15.0,2.0,HARD,2.0,1,True
0 days 01:27:17.080000,HUL,0 days 00:01:30.574000,16.0,2.0,HARD,3.0,1,False
0 days 01:28:47.436000,HUL,0 days 00:01:30.356000,17.0,2.0,HARD,4.0,1,False
0 days 01:30:19.071000,HUL,0 days 00:01:31.635000,18.0,2.0,HARD,5.0,1,False
0 days 01:31:49.406000,HUL,0 days 00:01:30.335000,19.0,2.0,HARD,6.0,1,False
0 days 01:33:19.842000,HUL,0 days 00:01:30.436000,20.0,2.0,HARD,7.0,1,False
0 days 01:34:50.478000,HUL,0 days 00:01:30.636000,21.0,2.0,HARD,8.0,1,False
0 days 01:36:20.929000,HUL,0 days 00:01:30.451000,22.0,2.0,HARD,9.0,1,False
0 days 01:37:51.949000,HUL,0 days 00:01:31.020000,23.0,2.0,HARD,10.0,1,False
0 days 01:39:23.053000,HUL,0 days 00:01:31.104000,24.0,2.0,HARD,11.0,1,False
0 days 01:40:53.921000,HUL,0 days 00:01:30.868000,25.0,2.0,HARD,12.0,1,False
0 days 01:42:25.365000,HUL,0 days 00:01:31.444000,26.0,2.0,HARD,13.0,1,False
0 days 01:43:57.450000,HUL,0 days 00:01:32.085000,27.0,2.0,HARD,14.0,1,False
0 days 01:45:29.030000,HUL,0 days 00:01:31.580000,28.0,2.0,HARD,15.0,1,False
0 days 01:47:00.798000,HUL,0 days 00:01:31.768000,29.0,2.0,HARD,16.0,1,False
0 days 01:48:31.465000,HUL,0 days 00:01:30.667000,30.0,2.0,HARD,17.0,1,False
0 days 01:50:02.058000,HUL,0 days 00:01:30.593000,31.0,2.0,HARD,18.0,1,False
0 days 01:51:32.903000,HUL,0 days 00:01:30.845000,32.0,2.0,HARD,19.0,1,False
0 days 01:53:05.358000,HUL,0 days 00:01:32.455000,33.0,2.0,HARD,20.0,1,False
0 days 01:54:55.556000,HUL,0 days 00:01:50.198000,34.0,3.0,HARD,1.0,1,False
0 days 01:56:26.054000,HUL,0 days 00:01:30.498000,35.0,3.0,HARD,2.0,1,False
0 days 01:57:55.745000,HUL,0 days 00:01:29.691000,36.0,3.0,HARD,3.0,1,True
0 days 01:59:25.492000,HUL,0 days 00:01:29.747000,37.0,3.0,HARD,4.0,1,False
0 days 02:00:54.954000,HUL,0 days 00:01:29.462000,38.0,3.0,HARD,5.0,1,True
0 days 02:02:25.045000,HUL,0 days 00:01:30.091000,39.0,3.0,HARD,6.0,1,False
0 days 02:03:55.166000,HUL,0 days 00:01:30.121000,40.0,3.0,HARD,7.0,1,False
0 days 02:05:25.059000,HUL,0 days 00:01:29.893000,41.0,3.0,HARD,8.0,1,False
0 days 02:06:54.455000,HUL,0 days 00:01:29.396000,42.0,3.0,HARD,9.0,1,True
0 days 02:08:23.940000,HUL,0 days 00:01:29.485000,43.0,3.0,HARD,10.0,1,False
0 days 02:09:53.482000,HUL,0 days 00:01:29.542000,44.0,3.0,HARD,11.0,1,False
0 days 02:11:22.982000,HUL,0 days 00:01:29.500000,45.0,3.0,HARD,12.0,1,False
0 days 02:12:52.438000,HUL,0 days 00:01:29.456000,46.0,3.0,HARD,13.0,1,False
0 days 02:14:22.473000,HUL,0 days 00:01:30.035000,47.0,3.0,HARD,14.0,1,False
0 days 02:15:52.594000,HUL,0 days 00:01:30.121000,48.0,3.0,HARD,15.0,1,False
0 days 02:17:23.299000,HUL,0 days 00:01:30.705000,49.0,3.0,HARD,16.0,1,False
0 days 02:18:53.499000,HUL,0 days 00:01:30.200000,50.0,3.0,HARD,17.0,1,False
0 days 02:20:23.578000,HUL,0 days 00:01:30.079000,51.0,3.0,HARD,18.0,1,False
0 days 02:21:53.683000,HUL,0 days 00:01:30.105000,52.0,3.0,HARD,19.0,1,False
0 days 02:23:23.773000,HUL,0 days 00:01:30.090000,53.0,3.0,HARD,20.0,1,False
0 days 02:24:53.440000,HUL,0 days 00:01:29.667000,54.0,3.0,HARD,21.0,1,False
