Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest
0 days 02:07:08.009000,PIA,0 days 00:01:18.658000,23.0,2.0,HARD,23.0,1,False
0 days 02:08:26.645000,PIA,0 days 00:01:18.636000,24.0,2.0,HARD,24.0,1,False
0 days 02:09:45.429000,PIA,0 days 00:01:18.784000,25.0,2.0,HARD,25.0,1,False
0 days 02:11:03.869000,PIA,0 days 00:01:18.440000,26.0,2.0,HARD,26.0,1,True
0 days 02:12:22.392000,PIA,0 days 00:01:18.523000,27.0,2.0,HARD,27.0,1,False
0 days 02:13:41.183000,PIA,0 days 00:01:18.791000,28.0,2.0,HARD,28.0,1,False
0 days 02:15:00.193000,PIA,0 days 00:01:19.010000,29.0,2.0,HARD,29.0,1,False
0 days 02:16:19.589000,PIA,0 days 00:01:19.396000,30.0,2.0,HARD,30.0,1,False
0 days 02:17:38.038000,PIA,0 days 00:01:18.449000,31.0,2.0,HARD,31.0,1,False
0 days 02:18:57.007000,PIA,0 days 00:01:18.969000,32.0,2.0,HARD,32.0,1,False
0 days 02:20:16.067000,PIA,0 days 00:01:19.060000,33.0,2.0,HARD,33.0,1,False
0 days 02:21:35.045000,PIA,0 days 00:01:18.978000,34.0,2.0,HARD,34.0,1,False
0 days 02:22:53.650000,PIA,0 days 00:01:18.605000,35.0,2.0,HARD,35.0,1,False
0 days 02:24:12.532000,PIA,0 days 00:01:18.882000,36.0,2.0,HARD,36.0,1,False
0 days 02:25:31.144000,PIA,0 days 00:01:18.612000,37.0,2.0,HARD,37.0,1,False
0 days 02:26:49.875000,PIA,0 days 00:01:18.731000,38.0,2.0,HARD,38.0,1,False
0 days 02:28:08.237000,PIA,0 days 00:01:18.362000,39.0,2.0,HARD,39.0,1,True
0 days 02:29:27.188000,PIA,0 days 00:01:18.951000,40.0,2.0,HARD,40.0,1,False
0 days 02:30:46.034000,PIA,0 days 00:01:18.846000,41.0,2.0,HARD,41.0,1,False
0 days 02:32:05.829000,PIA,0 days 00:01:19.795000,42.0,2.0,HARD,42.0,1,False
0 days 02:33:24.027000,PIA,0 days 00:01:18.198000,43.0,2.0,HARD,43.0,1,True
0 days 02:34:42.304000,PIA,0 days 00:01:18.277000,44.0,2.0,HARD,44.0,1,False
0 days 02:36:00.386000,PIA,0 days 00:01:18.082000,45.0,2.0,HARD,45.0,1,True
0 days 02:37:19.009000,PIA,0 days 00:01:18.623000,46.0,2.0,HARD,46.0,1,False
0 days 02:38:37.408000,PIA,0 days 00:01:18.399000,47.0,2.0,HARD,47.0,1,False
0 days 02:39:55.803000,PIA,0 days 00:01:18.395000,48.0,2.0,HARD,48.0,1,False
0 days 02:41:13.939000,PIA,0 days 00:01:18.136000,49.0,2.0,HARD,49.0,1,False
0 days 02:42:32.289000,PIA,0 days 00:01:18.350000,50.0,2.0,HARD,50.0,1,False
0 days 02:43:50.198000,PIA,0 days 00:01:17.909000,51.0,2.0,HARD,51.0,1,True
0 days 02:45:08.412000,PIA,0 days 00:01:18.214000,52.0,2.0,HARD,52.0,1,False
0 days 02:46:26.021000,PIA,0 days 00:01:17.609000,53.0,2.0,HARD,53.0,12,True
0 days 02:47:43.383000,PIA,0 days 00:01:17.362000,54.0,2.0,HARD,54.0,1,True
0 days 02:49:00.828000,PIA,0 days 00:01:17.445000,55.0,2.0,HARD,55.0,1,False
0 days 02:50:18.284000,PIA,0 days 00:01:17.456000,56.0,2.0,HARD,56.0,1,False
0 days 02:51:35.584000,PIA,0 days 00:01:17.300000,57.0,2.0,HARD,57.0,1,True
0 days 02:52:52.928000,PIA,0 days 00:01:17.344000,58.0,2.0,HARD,58.0,1,False
0 days 02:54:09.970000,PIA,0 days 00:01:17.042000,59.0,2.0,HARD,59.0,1,True
0 days 02:55:26.587000,PIA,0 days 00:01:16.617000,60.0,2.0,HARD,60.0,1,True
0 days 02:56:43.358000,PIA,0 days 00:01:16.771000,61.0,2.0,HARD,61.0,1,False
0 days 02:58:00.453000,PIA,0 days 00:01:17.095000,62.0,2.0,HARD,62.0,1,False
0 days 02:59:17.374000,PIA,0 days 00:01:16.921000,63.0,2.0,HARD,63.0,1,False
0 days 03:00:34.283000,PIA,0 days 00:01:16.909000,64.0,2.0,HARD,64.0,1,False
0 days 03:01:50.674000,PIA,0 days 00:01:16.391000,65.0,2.0,HARD,65.0,1,True
0 days 03:03:07.314000,PIA,0 days 00:01:16.640000,66.0,2.0,HARD,66.0,1,False
0 days 03:04:23.910000,PIA,0 days 00:01:16.596000,67.0,2.0,HARD,67.0,1,False
0 days 03:05:40.511000,PIA,0 days 00:01:16.601000,68.0,2.0,HARD,68.0,1,False
0 days 03:06:57.882000,PIA,0 days 00:01:17.371000,69.0,2.0,HARD,69.0,1,False
0 days 03:08:15.152000,PIA,0 days 00:01:17.270000,70.0,2.0,HARD,70.0,1,False
0 days 03:09:32.336000,PIA,0 days 00:01:17.184000,71.0,2.0,HARD,71.0,1,False
0 days 03:10:48.988000,PIA,0 days 00:01:16.652000,72.0,2.0,HARD,72.0,1,False
0 days 03:12:05.269000,PIA,0 days 00:01:16.281000,73.0,2.0,HARD,73.0,1,True
0 days 03:13:21.625000,PIA,0 days 00:01:16.356000,74.0,2.0,HARD,74.0,1,False
0 days 03:14:38.269000,PIA,0 days 00:01:16.644000,75.0,2.0,HARD,75.0,1,False
0 days 03:15:54.859000,PIA,0 days 00:01:16.590000,76.0,2.0,HARD,76.0,1,False
0 days 03:17:11.593000,PIA,0 days 00:01:16.734000,77.0,2.0,HARD,77.0,1,False
0 days 03:18:28.719000,PIA,0 days 00:01:17.126000,78.0,2.0,HARD,78.0,1,False
0 days 01:36:08.800000,SAI,,1.0,1.0,MEDIUM,1.0,1254,False
0 days 01:39:01.398000,SAI,,2.0,2.0,HARD,1.0,14,False
0 days 01:40:26.410000,SAI,0 days 00:01:25.012000,3.0,2.0,HARD,2.0,1,True
0 days 01:41:48.768000,SAI,0 days 00:01:22.358000,4.0,2.0,HARD,3.0,1,True
0 days 01:43:10.746000,SAI,0 days 00:01:21.978000,5.0,2.0,HARD,4.0,1,True
0 days 01:44:31.909000,SAI,0 days 00:01:21.163000,6.0,2.0,HARD,5.0,1,True
0 days 01:45:53.375000,SAI,0 days 00:01:21.466000,7.0,2.0,HARD,6.0,1,False
0 days 01:47:13.647000,SAI,0 days 00:01:20.272000,8.0,2.0,HARD,7.0,1,True
0 days 01:48:34.172000,SAI,0 days 00:01:20.525000,9.0,2.0,HARD,8.0,1,False
0 days 01:49:55.431000,SAI,0 days 00:01:21.259000,10.0,2.0,HARD,9.0,1,False
0 days 01:51:15.677000,SAI,0 days 00:01:20.246000,11.0,2.0,HARD,10.0,1,True
0 days 01:52:35.651000,SAI,0 days 00:01:19.974000,12.0,2.0,HARD,11.0,1,True
0 days 01:53:55.668000,SAI,0 days 00:01:20.017000,13.0,2.0,HARD,12.0,1,False
0 days 01:55:15.148000,SAI,0 days 00:01:19.480000,14.0,2.0,HARD,13.0,1,True
0 days 01:56:34.691000,SAI,0 days 00:01:19.543000,15.0,2.0,HARD,14.0,1,False
0 days 01:57:55.270000,SAI,0 days 00:01:20.579000,16.0,2.0,HARD,15.0,1,False
0 days 01:59:15.346000,SAI,0 days 00:01:20.076000,17.0,2.0,HARD,16.0,1,False
0 days 02:00:34.523000,SAI,0 days 00:01:19.177000,18.0,2.0,HARD,17.0,1,True
0 days 02:01:53.968000,SAI,0 days 00:01:19.445000,19.0,2.0,HARD,18.0,1,False
0 days 02:03:13.371000,SAI,0 days 00:01:19.403000,20.0,2.0,HARD,19.0,1,False
0 days 02:04:32.288000,SAI,0 days 00:01:18.917000,21.0,2.0,HARD,20.0,1,True
0 days 02:05:51.177000,SAI,0 days 00:01:18.889000,22.0,2.0,HARD,21.0,1,True
0 days 02:07:10.170000,SAI,0 days 00:01:18.993000,23.0,2.0,HARD,22.0,1,False
0 days 02:08:28.738000,SAI,0 days 00:01:18.568000,24.0,2.0,HARD,23.0,1,True
0 days 02:09:47.275000,SAI,0 days 00:01:18.537000,25.0,2.0,HARD,24.0,1,True
0 days 02:11:05.363000,SAI,0 days 00:01:18.088000,26.0,2.0,HARD,25.0,1,True
0 days 02:12:24.853000,SAI,0 days 00:01:19.490000,27.0,2.0,HARD,26.0,1,False
0 days 02:13:44.134000,SAI,0 days 00:01:19.281000,28.0,2.0,HARD,27.0,1,False
0 days 02:15:02.831000,SAI,0 days 00:01:18.697000,29.0,2.0,HARD,28.0,1,False
0 days 02:16:20.157000,SAI,0 days 00:01:17.326000,30.0,2.0,HARD,29.0,1,True
0 days 02:17:39.941000,SAI,0 days 00:01:19.784000,31.0,2.0,HARD,30.0,1,False
0 days 02:19:00.077000,SAI,0 days 00:01:20.136000,32.0,2.0,HARD,31.0,1,False
0 days 02:20:18.855000,SAI,0 days 00:01:18.778000,33.0,2.0,HARD,32.0,1,False
0 days 02:21:37.868000,SAI,0 days 00:01:19.013000,34.0,2.0,HARD,33.0,1,False
0 days 02:22:56.333000,SAI,0 days 00:01:18.465000,35.0,2.0,HARD,34.0,1,False
0 days 02:24:15.608000,SAI,0 days 00:01:19.275000,36.0,2.0,HARD,35.0,1,False
0 days 02:25:33.185000,SAI,0 days 00:01:17.577000,37.0,2.0,HARD,36.0,1,False
0 days 02:26:51.597000,SAI,0 days 00:01:18.412000,38.0,2.0,HARD,37.0,1,False
0 days 02:28:09.907000,SAI,0 days 00:01:18.310000,39.0,2.0,HARD,38.0,1,False
0 days 02:29:28.560000,SAI,0 days 00:01:18.653000,40.0,2.0,HARD,39.0,1,False
0 days 02:30:47.274000,SAI,0 days 00:01:18.714000,41.0,2.0,HARD,40.0,1,False
0 days 02:32:06.445000,SAI,0 days 00:01:19.171000,42.0,2.0,HARD,41.0,1,False
0 days 02:33:26.039000,SAI,0 days 00:01:19.594000,43.0,2.0,HARD,42.0,1,False
0 days 02:34:44.801000,SAI,0 days 00:01:18.762000,44.0,2.0,HARD,43.0,1,False
0 days 02:36:02.686000,SAI,0 days 00:01:17.885000,45.0,2.0,HARD,44.0,1,False
0 days 02:37:21.417000,SAI,0 days 00:01:18.731000,46.0,2.0,HARD,45.0,1,False
0 days 02:38:39.558000,SAI,0 days 00:01:18.141000,47.0,2.0,HARD,46.0,1,False
0 days 02:39:57.452000,SAI,0 days 00:01:17.894000,48.0,2.0,HARD,47.0,1,False
0 days 02:41:15.711000,SAI,0 days 00:01:18.259000,49.0,2.0,HARD,48.0,1,False
0 days 02:42:34.256000,SAI,0 days 00:01:18.545000,50.0,2.0,HARD,49.0,1,False
0 days 02:43:51.784000,SAI,0 days 00:01:17.528000,51.0,2.0,HARD,50.0,1,False
0 days 02:45:09.878000,SAI,0 days 00:01:18.094000,52.0,2.0,HARD,51.0,1,False
0 days 02:46:27.637000,SAI,0 days 00:01:17.759000,53.0,2.0,HARD,52.0,12,False
0 days 02:47:45.379000,SAI,0 days 00:01:17.742000,54.0,2.0,HARD,53.0,1,False
0 days 02:49:04.040000,SAI,0 days 00:01:18.661000,55.0,2.0,HARD,54.0,1,False
0 days 02:50:22.159000,SAI,0 days 00:01:18.119000,56.0,2.0,HARD,55.0,1,False
0 days 02:51:39.758000,SAI,0 days 00:01:17.599000,57.0,2.0,HARD,56.0,1,False
0 days 02:52:57.259000,SAI,0 days 00:01:17.501000,58.0,2.0,HARD,57.0,1,False
0 days 02:54:14.393000,SAI,0 days 00:01:17.134000,59.0,2.0,HARD,58.0,1,True
0 days 02:55:29.552000,SAI,0 days 00:01:15.159000,60.0,2.0,HARD,59.0,1,True
0 days 02:56:48.598000,SAI,0 days 00:01:19.046000,61.0,2.0,HARD,60.0,1,False
0 days 02:58:03.324000,SAI,0 days 00:01:14.726000,62.0,2.0,HARD,61.0,1,True
0 days 02:59:21.531000,SAI,0 days 00:01:18.207000,63.0,2.0,HARD,62.0,1,False
0 days 03:00:36.344000,SAI,0 days 00:01:14.813000,64.0,2.0,HARD,63.0,1,False
0 days 03:01:54.481000,SAI,0 days 00:01:18.137000,65.0,2.0,HARD,64.0,1,False
0 days 03:03:09.890000,SAI,0 days 00:01:15.409000,66.0,2.0,HARD,65.0,1,False
0 days 03:04:26.737000,SAI,0 days 00:01:16.847000,67.0,2.0,HARD,66.0,1,False
0 days 03:05:42.332000,SAI,0 days 00:01:15.595000,68.0,2.0,HARD,67.0,1,False
0 days 03:06:58.550000,SAI,0 days 00:01:16.218000,69.0,2.0,HARD,68.0,1,False
0 days 03:08:15.667000,SAI,0 days 00:01:17.117000,70.0,2.0,HARD,69.0,1,False
0 days 03:09:32.881000,SAI,0 days 00:01:17.214000,71.0,2.0,HARD,70.0,1,False
0 days 03:10:49.666000,SAI,0 days 00:01:16.785000,72.0,2.0,HARD,71.0,1,False
0 days 03:12:06.083000,SAI,0 days 00:01:16.417000,73.0,2.0,HARD,72.0,1,False
0 days 03:13:22.146000,SAI,0 days 00:01:16.063000,74.0,2.0,HARD,73.0,1,False
0 days 03:14:39.051000,SAI,0 days 00:01:16.905000,75.0,2.0,HARD,74.0,1,False
0 days 03:15:55.379000,SAI,0 days 00:01:16.328000,76.0,2.0,HARD,75.0,1,False
0 days 03:17:12.080000,SAI,0 days 00:01:16.701000,77.0,2.0,HARD,76.0,1,False
0 days 03:18:29.152000,SAI,0 days 00:01:17.072000,78.0,2.0,HARD,77.0,1,False
0 days 01:36:14.301000,NOR,,1.0,1.0,MEDIUM,2.0,1254,False
0 days 01:39:01.721000,NOR,,2.0,2.0,HARD,2.0,14,False
0 days 01:40:27.004000,NOR,0 days 00:01:25.283000,3.0,2.0,HARD,3.0,1,True
0 days 01:41:49.786000,NOR,0 days 00:01:22.782000,4.0,2.0,HARD,4.0,1,True
0 days 01:43:11.933000,NOR,0 days 00:01:22.147000,5.0,2.0,HARD,5.0,1,True
