Driver,LapNumber,LapTime_Seconds,Compound,TyreLife,Stint,TrackTemp,AirTemp,Race
HAM,18.0,95.071,MEDIUM,18.0,1.0,25.4,15.9,2024_Britain
LEC,10.0,92.496,MEDIUM,10.0,1.0,25.4,15.9,2024_Britain
RIC,20.0,83.127,HARD,15.0,2.0,38.55,20.7,2024_Australia
DEV,59.0,70.624,MEDIUM,22.0,4.0,32.0,22.5,2023_Austria
SAR,55.0,84.052,HARD,21.0,3.0,48.650000000000006,29.0,2023_Hungary
LEC,20.0,78.724,HARD,19.0,2.0,47.25,21.6,2024_Monaco
ZHO,34.0,97.037,SOFT,5.0,3.0,30.6,27.1,2023_Bahrain
VER,24.0,102.007,HARD,1.0,2.0,48.650000000000006,29.0,2023_Hungary
TSU,34.0,127.037,SOFT,2.0,3.0,29.8,21.5,2023_Britain
ALO,36.0,95.353,HARD,3.0,4.0,39.0,22.1,2024_Japan
RUS,18.0,132.217,MEDIUM,18.0,1.0,31.6,26.0,2023_Saudi_Arabia
MAG,45.0,84.013,HARD,11.0,3.0,45.1,28.9,2024_Hungary
TSU,16.0,73.169,HARD,15.0,3.0,32.0,22.5,2023_Austria
STR,22.0,102.328,MEDIUM,10.0,3.0,39.0,22.1,2024_Japan
OCO,41.0,99.008,MEDIUM,8.0,4.0,39.0,22.1,2024_Japan
LEC,14.0,94.609,SOFT,14.0,1.0,31.6,26.0,2023_Saudi_Arabia
RUS,42.0,79.281,MEDIUM,17.0,2.0,31.75,22.2,2023_Spain
HAM,66.0,80.041,SOFT,26.0,3.0,41.150000000000006,24.1,2024_Spain
ALO,67.0,78.126,MEDIUM,67.0,2.0,47.25,21.6,2024_Monaco
ZHO,46.0,84.074,HARD,10.0,3.0,45.1,28.9,2024_Hungary
BOT,20.0,79.124,HARD,6.0,3.0,47.25,21.6,2024_Monaco
PER,4.0,112.336,SOFT,4.0,1.0,28.2,17.9,2023_Belgium
MAG,39.0,79.939,HARD,15.0,3.0,31.75,22.2,2023_Spain
LEC,43.0,82.967,MEDIUM,3.0,3.0,45.1,28.9,2024_Hungary
NOR,20.0,81.642,HARD,7.0,2.0,38.55,20.7,2024_Australia
PIA,19.0,79.179,HARD,19.0,2.0,47.25,21.6,2024_Monaco
STR,37.0,79.638,MEDIUM,37.0,2.0,47.25,21.6,2024_Monaco
BOT,4.0,73.266,HARD,4.0,2.0,32.0,22.5,2023_Austria
SAR,47.0,91.868,SOFT,18.0,2.0,29.8,21.5,2023_Britain
SAR,3.0,114.142,SOFT,3.0,1.0,28.2,17.9,2023_Belgium
VER,7.0,122.919,MEDIUM,7.0,1.0,31.5,25.5,2024_Saudi_Arabia
LEC,20.0,102.041,MEDIUM,20.0,1.0,29.9,18.7,2024_China
