Driver,LapNumber,LapTime_Seconds,Compound,TyreLife,Stint,TrackTemp,AirTemp,Race
SAI,62.0,69.957,MEDIUM,15.0,3.0,46.5,29.5,2024_Austria
BOT,41.0,84.249,HARD,13.0,3.0,41.150000000000006,24.1,2024_Spain
PIA,11.0,81.486,SOFT,14.0,1.0,41.150000000000006,24.1,2024_Spain
RUS,25.0,79.772,MEDIUM,10.0,2.0,41.150000000000006,24.1,2024_Spain
MAG,27.0,93.935,MEDIUM,27.0,1.0,29.8,21.5,2023_Britain
SAI,60.0,75.159,HARD,59.0,2.0,47.25,21.6,2024_Monaco
SAI,6.0,91.175,HARD,6.0,1.0,32.8,26.9,2023_Abu_Dhabi
MAG,13.0,96.89,HARD,2.0,2.0,23.5,18.2,2024_Bahrain
MAG,45.0,96.349,HARD,13.0,3.0,23.5,18.2,2024_Bahrain
VER,23.0,92.792,HARD,16.0,2.0,31.5,25.5,2024_Saudi_Arabia
PIA,2.0,95.082,MEDIUM,2.0,1.0,31.5,25.5,2024_Saudi_Arabia
LEC,19.0,71.157,MEDIUM,3.0,3.0,46.5,29.5,2024_Austria
SAI,44.0,94.507,HARD,9.0,3.0,23.5,18.2,2024_Bahrain
OCO,28.0,90.322,HARD,13.0,2.0,32.8,26.9,2023_Abu_Dhabi
SAR,51.0,102.32,HARD,27.0,3.0,29.9,18.7,2024_China
PIA,21.0,79.065,HARD,21.0,1.0,39.5,25.3,2023_Monaco
ZHO,7.0,72.045,HARD,7.0,1.0,46.5,29.5,2024_Austria
NOR,5.0,101.94,MEDIUM,5.0,1.0,29.9,18.7,2024_China
VER,20.0,90.004,MEDIUM,20.0,1.0,31.3,26.8,2024_Abu_Dhabi
MAG,65.0,86.277,HARD,27.0,3.0,46.5,29.5,2024_Austria
STR,34.0,78.583,HARD,35.0,1.0,39.5,25.3,2023_Monaco
OCO,12.0,103.787,SOFT,15.0,1.0,30.6,27.1,2023_Bahrain
RUS,41.0,101.024,HARD,18.0,3.0,29.9,18.7,2024_China
HUL,16.0,95.153,MEDIUM,16.0,1.0,31.5,25.5,2024_Saudi_Arabia
RUS,4.0,90.797,MEDIUM,4.0,1.0,32.8,26.9,2023_Abu_Dhabi
PER,11.0,94.075,MEDIUM,11.0,1.0,31.6,26.0,2023_Saudi_Arabia
ALB,10.0,82.787,MEDIUM,10.0,1.0,41.150000000000006,24.1,2024_Spain
PIA,57.0,103.431,INTERMEDIATE,3.0,2.0,39.5,25.3,2023_Monaco
MAG,64.0,99.995,WET,8.0,2.0,39.5,25.3,2023_Monaco
LEC,43.0,70.946,MEDIUM,11.0,4.0,46.5,29.5,2024_Austria
NOR,50.0,95.268,HARD,24.0,4.0,39.0,22.1,2024_Japan
HUL,10.0,71.254,MEDIUM,13.0,2.0,32.0,22.5,2023_Austria
ALO,10.0,103.083,MEDIUM,10.0,1.0,29.9,18.7,2024_China
ALO,12.0,84.813,MEDIUM,6.0,2.0,45.1,28.9,2024_Hungary
SAI,52.0,88.266,HARD,27.0,2.0,31.3,26.8,2024_Abu_Dhabi
LEC,4.0,81.854,HARD,4.0,1.0,31.75,22.2,2023_Spain
ZHO,7.0,71.161,MEDIUM,7.0,2.0,32.0,22.5,2023_Austria
VER,26.0,90.268,MEDIUM,26.0,1.0,31.3,26.8,2024_Abu_Dhabi
ZHO,3.0,77.003,HARD,2.0,2.0,39.5,25.3,2023_Monaco
PIA,15.0,106.66,HARD,1.0,3.0,32.0,22.5,2023_Austria
RUS,55.0,80.305,HARD,2.0,3.0,45.1,28.9,2024_Hungary
BOT,50.0,80.239,HARD,36.0,3.0,47.25,21.6,2024_Monaco
BOT,48.0,96.765,HARD,18.0,3.0,23.5,18.2,2024_Bahrain
OCO,53.0,97.145,HARD,23.0,3.0,23.5,18.2,2024_Bahrain
ALB,24.0,81.181,SOFT,6.0,2.0,41.150000000000006,24.1,2024_Spain
LEC,35.0,94.341,HARD,19.0,2.0,31.6,26.0,2023_Saudi_Arabia
TSU,7.0,103.951,SOFT,7.0,1.0,29.9,18.7,2024_China
GAS,55.0,79.195,HARD,16.0,3.0,31.75,22.2,2023_Spain
MAG,30.0,98.04,HARD,19.0,2.0,23.5,18.2,2024_Bahrain
NOR,47.0,91.593,HARD,14.0,2.0,29.8,21.5,2023_Britain
MAG,26.0,95.544,HARD,18.0,2.0,31.6,26.0,2023_Saudi_Arabia
TSU,54.0,89.543,HARD,32.0,2.0,31.3,26.8,2024_Abu_Dhabi
MAG,20.0,85.524,HARD,14.0,2.0,45.1,28.9,2024_Hungary
GAS,22.0,134.094,HARD,11.0,2.0,29.9,18.7,2024_China
STR,33.0,104.213,INTERMEDIATE,7.0,2.0,25.4,15.9,2024_Britain
VER,33.0,102.606,INTERMEDIATE,7.0,2.0,25.4,15.9,2024_Britain
SAI,53.0,90.068,MEDIUM,20.0,2.0,39.5,25.3,2023_Monaco
PER,22.0,80.315,MEDIUM,22.0,1.0,31.75,22.2,2023_Spain
RUS,24.0,69.563,MEDIUM,2.0,2.0,46.5,29.5,2024_Austria
PER,52.0,97.062,HARD,18.0,3.0,30.6,27.1,2023_Bahrain
VER,22.0,91.904,MEDIUM,22.0,1.0,25.4,15.9,2024_Britain
VER,18.0,89.826,MEDIUM,18.0,1.0,31.3,26.8,2024_Abu_Dhabi
PIA,8.0,84.751,MEDIUM,10.0,1.0,48.650000000000006,29.0,2023_Hungary
LEC,13.0,98.479,MEDIUM,12.0,2.0,39.0,22.1,2024_Japan
VER,36.0,88.557,HARD,7.0,2.0,31.3,26.8,2024_Abu_Dhabi
LEC,30.0,97.158,HARD,19.0,2.0,23.5,18.2,2024_Bahrain
ALO,35.0,85.73,MEDIUM,19.0,2.0,38.55,20.7,2024_Australia
TSU,7.0,113.679,MEDIUM,7.0,1.0,28.2,17.9,2023_Belgium
TSU,30.0,78.335,MEDIUM,30.0,1.0,39.5,25.3,2023_Monaco
ALO,47.0,69.234,MEDIUM,3.0,4.0,32.0,22.5,2023_Austria
TSU,46.0,69.775,MEDIUM,3.0,5.0,32.0,22.5,2023_Austria
MAG,45.0,70.703,HARD,12.0,4.0,32.0,22.5,2023_Austria
LEC,14.0,81.952,HARD,5.0,2.0,38.55,20.7,2024_Australia
ALO,21.0,110.904,HARD,10.0,2.0,29.9,18.7,2024_China
OCO,32.0,104.673,INTERMEDIATE,6.0,4.0,25.4,15.9,2024_Britain
NOR,5.0,70.424,MEDIUM,5.0,1.0,46.5,29.5,2024_Austria
ALB,28.0,93.084,MEDIUM,28.0,1.0,29.8,21.5,2023_Britain
VER,16.0,97.801,SOFT,2.0,2.0,30.6,27.1,2023_Bahrain
BOT,30.0,103.472,INTERMEDIATE,4.0,2.0,25.4,15.9,2024_Britain
PIA,14.0,103.139,MEDIUM,14.0,1.0,29.9,18.7,2024_China
VER,31.0,96.761,MEDIUM,15.0,3.0,39.0,22.1,2024_Japan
BOT,39.0,92.618,SOFT,7.0,2.0,29.8,21.5,2023_Britain
SAR,48.0,95.837,SOFT,7.0,5.0,39.0,22.1,2024_Japan
NOR,5.0,93.914,MEDIUM,5.0,1.0,29.8,21.5,2023_Britain
RUS,36.0,79.835,MEDIUM,11.0,2.0,31.75,22.2,2023_Spain
NOR,53.0,83.375,MEDIUM,12.0,3.0,48.650000000000006,29.0,2023_Hungary
PIA,70.0,88.82,INTERMEDIATE,16.0,2.0,39.5,25.3,2023_Monaco
LEC,48.0,76.971,MEDIUM,4.0,2.0,39.5,25.3,2023_Monaco
VER,10.0,98.369,SOFT,13.0,1.0,30.6,27.1,2023_Bahrain
BOT,13.0,113.924,MEDIUM,7.0,2.0,28.2,17.9,2023_Belgium
HUL,48.0,101.196,HARD,25.0,3.0,29.9,18.7,2024_China
OCO,54.0,84.485,HARD,24.0,3.0,45.1,28.9,2024_Hungary
ZHO,38.0,113.446,SOFT,13.0,3.0,28.2,17.9,2023_Belgium
TSU,52.0,80.114,HARD,52.0,2.0,47.25,21.6,2024_Monaco
ZHO,53.0,86.879,HARD,20.0,3.0,48.650000000000006,29.0,2023_Hungary
ALO,46.0,71.329,HARD,12.0,3.0,46.5,29.5,2024_Austria
BOT,6.0,101.288,SOFT,6.0,2.0,39.0,22.1,2024_Japan
DEV,55.0,70.537,MEDIUM,18.0,4.0,32.0,22.5,2023_Austria
MAG,12.0,71.273,HARD,2.0,2.0,46.5,29.5,2024_Austria
SAR,18.0,99.399,SOFT,6.0,2.0,30.6,27.1,2023_Bahrain
LEC,44.0,70.475,MEDIUM,29.0,3.0,32.0,22.5,2023_Austria
SAI,25.0,80.693,MEDIUM,10.0,2.0,31.75,22.2,2023_Spain
PIA,14.0,82.316,SOFT,17.0,1.0,41.150000000000006,24.1,2024_Spain
VER,21.0,114.915,MEDIUM,7.0,2.0,28.2,17.9,2023_Belgium
NOR,41.0,95.229,HARD,15.0,4.0,39.0,22.1,2024_Japan
VER,55.0,87.93,HARD,12.0,3.0,32.8,26.9,2023_Abu_Dhabi
GAS,45.0,93.82,HARD,31.0,2.0,31.6,26.0,2023_Saudi_Arabia
STR,25.0,85.743,MEDIUM,12.0,2.0,45.1,28.9,2024_Hungary
RIC,31.0,82.938,HARD,2.0,3.0,38.55,20.7,2024_Australia
DEV,4.0,73.236,MEDIUM,4.0,2.0,32.0,22.5,2023_Austria
HAM,22.0,92.821,MEDIUM,22.0,1.0,29.8,21.5,2023_Britain
ALB,47.0,80.462,HARD,46.0,2.0,47.25,21.6,2024_Monaco
ZHO,30.0,70.915,MEDIUM,2.0,2.0,46.5,29.5,2024_Austria
OCO,46.0,93.976,HARD,30.0,2.0,31.6,26.0,2023_Saudi_Arabia
PIA,52.0,96.164,HARD,20.0,4.0,39.0,22.1,2024_Japan
TSU,50.0,91.407,SOFT,12.0,3.0,25.4,15.9,2024_Britain
DOO,9.0,90.96,MEDIUM,9.0,1.0,31.3,26.8,2024_Abu_Dhabi
TSU,54.0,73.402,MEDIUM,11.0,5.0,32.0,22.5,2023_Austria
BOT,43.0,97.813,HARD,14.0,3.0,30.6,27.1,2023_Bahrain
HUL,18.0,71.664,HARD,7.0,2.0,46.5,29.5,2024_Austria
SAR,34.0,101.233,HARD,10.0,3.0,29.9,18.7,2024_China
SAR,15.0,101.741,MEDIUM,3.0,2.0,29.9,18.7,2024_China
LEC,30.0,92.863,HARD,23.0,2.0,31.5,25.5,2024_Saudi_Arabia
LEC,46.0,88.446,HARD,11.0,3.0,32.8,26.9,2023_Abu_Dhabi
SAI,39.0,87.924,HARD,14.0,2.0,31.3,26.8,2024_Abu_Dhabi
OCO,16.0,100.692,HARD,15.0,2.0,39.0,22.1,2024_Japan
HUL,33.0,97.761,HARD,7.0,3.0,30.6,27.1,2023_Bahrain
RIC,32.0,83.611,HARD,4.0,3.0,45.1,28.9,2024_Hungary
BOT,44.0,71.193,HARD,2.0,3.0,46.5,29.5,2024_Austria
PIA,32.0,69.767,HARD,7.0,2.0,46.5,29.5,2024_Austria
ZHO,31.0,96.297,HARD,3.0,3.0,23.5,18.2,2024_Bahrain
MAG,58.0,71.062,HARD,25.0,4.0,32.0,22.5,2023_Austria
RUS,63.0,82.957,MEDIUM,17.0,3.0,48.650000000000006,29.0,2023_Hungary
BOT,18.0,89.68,HARD,12.0,2.0,31.3,26.8,2024_Abu_Dhabi
ALB,49.0,97.102,HARD,13.0,3.0,23.5,18.2,2024_Bahrain
TSU,15.0,90.901,MEDIUM,15.0,1.0,32.8,26.9,2023_Abu_Dhabi
MAG,19.0,95.22,HARD,12.0,2.0,31.5,25.5,2024_Saudi_Arabia
SAR,38.0,91.231,HARD,23.0,2.0,32.8,26.9,2023_Abu_Dhabi
RUS,65.0,69.649,MEDIUM,24.0,4.0,32.0,22.5,2023_Austria
DEV,55.0,108.77,INTERMEDIATE,2.0,2.0,39.5,25.3,2023_Monaco
NOR,69.0,90.126,INTERMEDIATE,15.0,3.0,39.5,25.3,2023_Monaco
ZHO,27.0,81.293,HARD,26.0,2.0,47.25,21.6,2024_Monaco
BOT,48.0,71.574,HARD,8.0,4.0,32.0,22.5,2023_Austria
MAG,24.0,132.967,HARD,7.0,2.0,29.9,18.7,2024_China
NOR,22.0,138.646,MEDIUM,22.0,1.0,29.9,18.7,2024_China
ALO,31.0,77.259,HARD,32.0,1.0,39.5,25.3,2023_Monaco
ZHO,20.0,95.087,MEDIUM,20.0,1.0,31.5,25.5,2024_Saudi_Arabia
MAG,20.0,85.29,HARD,9.0,2.0,48.650000000000006,29.0,2023_Hungary
ZHO,26.0,90.126,HARD,14.0,2.0,31.3,26.8,2024_Abu_Dhabi
HUL,48.0,89.573,HARD,35.0,2.0,31.3,26.8,2024_Abu_Dhabi
TSU,60.0,79.659,HARD,60.0,2.0,47.25,21.6,2024_Monaco
NOR,34.0,99.022,HARD,12.0,2.0,29.9,18.7,2024_China
NOR,62.0,98.893,INTERMEDIATE,8.0,3.0,39.5,25.3,2023_Monaco
PIA,40.0,88.325,HARD,8.0,3.0,31.3,26.8,2024_Abu_Dhabi
TSU,12.0,82.341,MEDIUM,3.0,2.0,41.150000000000006,24.1,2024_Spain
LEC,4.0,92.705,MEDIUM,4.0,1.0,25.4,15.9,2024_Britain
PIA,40.0,95.888,HARD,8.0,4.0,39.0,22.1,2024_Japan
MAG,61.0,79.492,MEDIUM,19.0,4.0,31.75,22.2,2023_Spain
HAM,34.0,70.128,HARD,13.0,2.0,46.5,29.5,2024_Austria
GAS,6.0,101.11,SOFT,6.0,1.0,30.6,27.1,2023_Bahrain
BOT,48.0,84.845,HARD,3.0,3.0,45.1,28.9,2024_Hungary
ZHO,65.0,80.985,HARD,24.0,3.0,41.150000000000006,24.1,2024_Spain
NOR,13.0,96.269,HARD,11.0,2.0,31.6,26.0,2023_Saudi_Arabia
TSU,47.0,96.396,HARD,13.0,3.0,23.5,18.2,2024_Bahrain
HAM,22.0,96.633,HARD,10.0,2.0,23.5,18.2,2024_Bahrain
ZHO,18.0,86.003,HARD,11.0,2.0,45.1,28.9,2024_Hungary
RUS,25.0,86.712,HARD,25.0,1.0,45.1,28.9,2024_Hungary
HAM,60.0,82.841,HARD,20.0,3.0,45.1,28.9,2024_Hungary
ALO,40.0,88.617,HARD,5.0,3.0,32.8,26.9,2023_Abu_Dhabi
ZHO,11.0,79.602,HARD,10.0,2.0,39.5,25.3,2023_Monaco
SAI,35.0,89.494,HARD,12.0,2.0,32.8,26.9,2023_Abu_Dhabi
HUL,24.0,95.782,HARD,13.0,2.0,31.6,26.0,2023_Saudi_Arabia
HUL,4.0,85.889,MEDIUM,7.0,1.0,48.650000000000006,29.0,2023_Hungary
VER,6.0,97.986,SOFT,9.0,1.0,30.6,27.1,2023_Bahrain
OCO,2.0,100.408,SOFT,5.0,1.0,30.6,27.1,2023_Bahrain
RUS,50.0,100.466,HARD,27.0,3.0,29.9,18.7,2024_China
BOT,41.0,80.472,HARD,2.0,3.0,31.75,22.2,2023_Spain
PIA,5.0,93.461,MEDIUM,5.0,1.0,29.8,21.5,2023_Britain
BOT,5.0,101.033,SOFT,5.0,1.0,30.6,27.1,2023_Bahrain
STR,12.0,71.065,MEDIUM,12.0,2.0,32.0,22.5,2023_Austria
RIC,3.0,96.766,MEDIUM,3.0,1.0,31.5,25.5,2024_Saudi_Arabia
TSU,25.0,80.643,HARD,15.0,2.0,31.75,22.2,2023_Spain
DEV,64.0,79.166,MEDIUM,26.0,3.0,31.75,22.2,2023_Spain
PER,58.0,82.313,MEDIUM,19.0,3.0,48.650000000000006,29.0,2023_Hungary
VER,53.0,97.231,SOFT,3.0,3.0,31.75,22.2,2023_Spain
STR,6.0,71.486,MEDIUM,7.0,1.0,46.5,29.5,2024_Austria
PER,35.0,83.32,MEDIUM,17.0,2.0,48.650000000000006,29.0,2023_Hungary
NOR,61.0,83.442,MEDIUM,20.0,3.0,48.650000000000006,29.0,2023_Hungary
MAG,32.0,90.684,HARD,10.0,3.0,32.8,26.9,2023_Abu_Dhabi
PIA,19.0,92.88,MEDIUM,19.0,1.0,29.8,21.5,2023_Britain
LAW,19.0,90.896,MEDIUM,19.0,1.0,31.3,26.8,2024_Abu_Dhabi
ZHO,50.0,78.771,HARD,9.0,3.0,41.150000000000006,24.1,2024_Spain
GAS,31.0,100.432,HARD,19.0,2.0,23.5,18.2,2024_Bahrain
OCO,64.0,72.008,HARD,24.0,4.0,32.0,22.5,2023_Austria
VER,15.0,93.512,HARD,8.0,2.0,31.5,25.5,2024_Saudi_Arabia
ZHO,21.0,71.446,HARD,13.0,3.0,32.0,22.5,2023_Austria
BOT,46.0,89.998,MEDIUM,17.0,2.0,32.8,26.9,2023_Abu_Dhabi
HUL,63.0,79.66,HARD,25.0,3.0,41.150000000000006,24.1,2024_Spain
RIC,52.0,97.529,SOFT,17.0,3.0,23.5,18.2,2024_Bahrain
LEC,55.0,100.882,HARD,34.0,2.0,29.9,18.7,2024_China
HUL,48.0,97.086,SOFT,11.0,4.0,30.6,27.1,2023_Bahrain
ALO,4.0,93.156,MEDIUM,5.0,1.0,29.8,21.5,2023_Britain
SAR,46.0,95.939,SOFT,6.0,4.0,23.5,18.2,2024_Bahrain
VER,42.0,76.8,MEDIUM,42.0,1.0,39.5,25.3,2023_Monaco
HUL,55.0,89.576,HARD,22.0,3.0,32.8,26.9,2023_Abu_Dhabi
STR,7.0,92.716,MEDIUM,7.0,1.0,25.4,15.9,2024_Britain
RUS,30.0,94.165,HARD,12.0,2.0,31.6,26.0,2023_Saudi_Arabia
RIC,42.0,95.338,SOFT,7.0,3.0,23.5,18.2,2024_Bahrain
PER,63.0,77.828,SOFT,13.0,3.0,31.75,22.2,2023_Spain
ALB,28.0,81.033,HARD,12.0,2.0,31.75,22.2,2023_Spain
ALB,25.0,90.095,HARD,13.0,2.0,31.3,26.8,2024_Abu_Dhabi
HUL,8.0,96.282,MEDIUM,8.0,1.0,31.6,26.0,2023_Saudi_Arabia
SAI,56.0,100.41,HARD,39.0,2.0,29.9,18.7,2024_China
LEC,37.0,78.925,HARD,36.0,2.0,47.25,21.6,2024_Monaco
RIC,25.0,128.183,MEDIUM,11.0,2.0,29.9,18.7,2024_China
OCO,4.0,86.415,MEDIUM,4.0,1.0,45.1,28.9,2024_Hungary
RUS,7.0,102.589,MEDIUM,7.0,1.0,29.9,18.7,2024_China
STR,2.0,96.324,MEDIUM,2.0,1.0,31.6,26.0,2023_Saudi_Arabia
GAS,52.0,79.743,MEDIUM,51.0,2.0,47.25,21.6,2024_Monaco
PIA,53.0,83.458,MEDIUM,14.0,3.0,48.650000000000006,29.0,2023_Hungary
PIA,51.0,77.909,HARD,51.0,2.0,47.25,21.6,2024_Monaco
SAR,37.0,95.437,MEDIUM,19.0,2.0,31.6,26.0,2023_Saudi_Arabia
MAG,2.0,97.219,MEDIUM,2.0,1.0,31.6,26.0,2023_Saudi_Arabia
BOT,7.0,93.648,MEDIUM,7.0,1.0,25.4,15.9,2024_Britain
VER,49.0,93.835,HARD,31.0,2.0,31.6,26.0,2023_Saudi_Arabia
LEC,32.0,96.215,HARD,14.0,2.0,29.8,21.5,2023_Britain
ALO,58.0,79.229,MEDIUM,58.0,2.0,47.25,21.6,2024_Monaco
GAS,40.0,96.742,HARD,9.0,3.0,23.5,18.2,2024_Bahrain
ALB,12.0,71.898,MEDIUM,12.0,2.0,32.0,22.5,2023_Austria
ALB,29.0,85.592,HARD,24.0,2.0,48.650000000000006,29.0,2023_Hungary
GAS,15.0,115.359,SOFT,15.0,1.0,28.2,17.9,2023_Belgium
MAG,10.0,90.814,HARD,5.0,2.0,32.8,26.9,2023_Abu_Dhabi
HAM,6.0,94.556,MEDIUM,6.0,1.0,29.8,21.5,2023_Britain
NOR,34.0,112.221,SOFT,17.0,3.0,28.2,17.9,2023_Belgium
LEC,14.0,96.756,HARD,3.0,2.0,23.5,18.2,2024_Bahrain
TSU,52.0,79.818,SOFT,8.0,4.0,41.150000000000006,24.1,2024_Spain
RIC,23.0,81.358,MEDIUM,7.0,2.0,41.150000000000006,24.1,2024_Spain
HAM,46.0,97.779,HARD,16.0,3.0,30.6,27.1,2023_Bahrain
SAI,32.0,89.897,HARD,9.0,2.0,32.8,26.9,2023_Abu_Dhabi
BOT,19.0,77.824,HARD,19.0,1.0,39.5,25.3,2023_Monaco
TSU,4.0,103.095,SOFT,4.0,1.0,29.9,18.7,2024_China
HAM,16.0,102.531,MEDIUM,7.0,2.0,29.9,18.7,2024_China
VER,23.0,89.939,MEDIUM,23.0,1.0,31.3,26.8,2024_Abu_Dhabi
RUS,53.0,88.825,HARD,19.0,3.0,32.8,26.9,2023_Abu_Dhabi
STR,46.0,78.296,HARD,6.0,3.0,47.25,21.6,2024_Monaco
PER,41.0,77.959,MEDIUM,8.0,3.0,39.5,25.3,2023_Monaco
MAG,48.0,78.745,HARD,48.0,1.0,39.5,25.3,2023_Monaco
LEC,30.0,77.559,HARD,30.0,1.0,39.5,25.3,2023_Monaco
SAR,5.0,98.757,SOFT,5.0,1.0,23.5,18.2,2024_Bahrain
TSU,53.0,125.687,MEDIUM,53.0,1.0,39.5,25.3,2023_Monaco
OCO,44.0,93.871,HARD,37.0,2.0,31.5,25.5,2024_Saudi_Arabia
NOR,36.0,70.815,HARD,22.0,3.0,32.0,22.5,2023_Austria
VER,32.0,83.292,HARD,9.0,2.0,48.650000000000006,29.0,2023_Hungary
ZHO,54.0,101.258,SOFT,14.0,4.0,29.9,18.7,2024_China
OCO,78.0,84.231,INTERMEDIATE,24.0,3.0,39.5,25.3,2023_Monaco
COL,16.0,90.464,HARD,13.0,2.0,31.3,26.8,2024_Abu_Dhabi
HUL,9.0,81.629,SOFT,9.0,1.0,41.150000000000006,24.1,2024_Spain
COL,8.0,90.27,HARD,5.0,2.0,31.3,26.8,2024_Abu_Dhabi
NOR,48.0,97.126,SOFT,4.0,3.0,41.150000000000006,24.1,2024_Spain
LEC,52.0,69.14,HARD,5.0,4.0,32.0,22.5,2023_Austria
HAM,19.0,103.711,MEDIUM,19.0,1.0,25.4,15.9,2024_Britain
RIC,11.0,99.033,SOFT,14.0,1.0,23.5,18.2,2024_Bahrain
TSU,22.0,95.698,HARD,15.0,2.0,31.5,25.5,2024_Saudi_Arabia
LEC,30.0,110.436,SOFT,2.0,3.0,28.2,17.9,2023_Belgium
NOR,4.0,116.661,MEDIUM,4.0,1.0,28.2,17.9,2023_Belgium
VER,38.0,93.123,HARD,20.0,2.0,31.6,26.0,2023_Saudi_Arabia
VER,7.0,84.38,MEDIUM,7.0,1.0,45.1,28.9,2024_Hungary
SAI,5.0,116.974,SOFT,5.0,1.0,28.2,17.9,2023_Belgium
PIA,24.0,78.636,HARD,24.0,2.0,47.25,21.6,2024_Monaco
SAR,44.0,97.407,SOFT,4.0,4.0,30.6,27.1,2023_Bahrain
PIA,9.0,96.501,MEDIUM,9.0,1.0,38.55,20.7,2024_Australia
ALB,17.0,111.901,HARD,1.0,2.0,32.8,26.9,2023_Abu_Dhabi
HUL,12.0,113.453,HARD,1.0,2.0,31.6,26.0,2023_Saudi_Arabia
PIA,49.0,81.248,HARD,49.0,1.0,39.5,25.3,2023_Monaco
HAM,16.0,73.6,HARD,2.0,3.0,32.0,22.5,2023_Austria
TSU,6.0,71.94,HARD,5.0,3.0,32.0,22.5,2023_Austria
RUS,24.0,70.712,HARD,10.0,3.0,32.0,22.5,2023_Austria
VER,34.0,78.044,MEDIUM,34.0,1.0,39.5,25.3,2023_Monaco
HUL,45.0,95.119,SOFT,5.0,4.0,23.5,18.2,2024_Bahrain
VER,3.0,100.494,MEDIUM,3.0,1.0,29.9,18.7,2024_China
NOR,24.0,79.705,MEDIUM,2.0,3.0,31.75,22.2,2023_Spain
ALO,13.0,100.341,SOFT,16.0,1.0,30.6,27.1,2023_Bahrain
RUS,54.0,78.201,MEDIUM,53.0,2.0,47.25,21.6,2024_Monaco
TSU,21.0,98.152,HARD,4.0,2.0,31.6,26.0,2023_Saudi_Arabia
GAS,36.0,112.227,MEDIUM,13.0,2.0,28.2,17.9,2023_Belgium
NOR,23.0,83.419,HARD,7.0,2.0,45.1,28.9,2024_Hungary
HAM,16.0,98.617,HARD,4.0,2.0,30.6,27.1,2023_Bahrain
ZHO,9.0,94.044,MEDIUM,9.0,1.0,29.8,21.5,2023_Britain
TSU,45.0,94.599,HARD,28.0,2.0,31.6,26.0,2023_Saudi_Arabia
SAR,42.0,91.699,SOFT,13.0,2.0,29.8,21.5,2023_Britain
ALO,40.0,77.63,HARD,41.0,1.0,39.5,25.3,2023_Monaco
STR,24.0,96.761,HARD,2.0,4.0,39.0,22.1,2024_Japan
HAM,7.0,91.675,MEDIUM,7.0,1.0,25.4,15.9,2024_Britain
PER,61.0,69.188,HARD,11.0,4.0,32.0,22.5,2023_Austria
TSU,39.0,91.013,HARD,17.0,2.0,32.8,26.9,2023_Abu_Dhabi
ZHO,49.0,70.644,HARD,11.0,4.0,32.0,22.5,2023_Austria
LEC,54.0,95.725,MEDIUM,10.0,2.0,39.5,25.3,2023_Monaco
DOO,42.0,89.592,HARD,20.0,2.0,31.3,26.8,2024_Abu_Dhabi
STR,20.0,99.248,MEDIUM,8.0,3.0,39.0,22.1,2024_Japan
PIA,64.0,79.393,MEDIUM,25.0,3.0,31.75,22.2,2023_Spain
PIA,47.0,95.376,HARD,13.0,3.0,23.5,18.2,2024_Bahrain
MAG,17.0,71.243,HARD,7.0,2.0,46.5,29.5,2024_Austria
VER,18.0,79.58,MEDIUM,17.0,2.0,47.25,21.6,2024_Monaco
PIA,38.0,88.138,HARD,2.0,3.0,32.8,26.9,2023_Abu_Dhabi
NOR,30.0,84.043,HARD,13.0,2.0,48.650000000000006,29.0,2023_Hungary
ZHO,36.0,94.282,MEDIUM,36.0,1.0,31.5,25.5,2024_Saudi_Arabia
HAM,13.0,125.716,MEDIUM,1.0,2.0,28.2,17.9,2023_Belgium
STR,18.0,98.127,HARD,3.0,2.0,30.6,27.1,2023_Bahrain
BOT,17.0,97.238,HARD,10.0,2.0,31.5,25.5,2024_Saudi_Arabia
VER,25.0,83.777,HARD,2.0,2.0,48.650000000000006,29.0,2023_Hungary
SAR,42.0,82.818,HARD,8.0,3.0,41.150000000000006,24.1,2024_Spain
PIA,37.0,94.774,HARD,3.0,3.0,23.5,18.2,2024_Bahrain
PER,14.0,99.168,SOFT,4.0,2.0,41.150000000000006,24.1,2024_Spain
HAM,37.0,84.655,HARD,21.0,2.0,45.1,28.9,2024_Hungary
TSU,51.0,70.7,HARD,7.0,3.0,46.5,29.5,2024_Austria
ALO,4.0,78.776,HARD,5.0,1.0,39.5,25.3,2023_Monaco
HAM,7.0,90.899,MEDIUM,7.0,1.0,32.8,26.9,2023_Abu_Dhabi
HAM,61.0,83.18,HARD,21.0,3.0,45.1,28.9,2024_Hungary
STR,26.0,70.916,HARD,11.0,3.0,32.0,22.5,2023_Austria
PIA,11.0,84.062,MEDIUM,11.0,1.0,45.1,28.9,2024_Hungary
RIC,62.0,84.198,MEDIUM,36.0,3.0,48.650000000000006,29.0,2023_Hungary
BOT,34.0,112.188,MEDIUM,10.0,3.0,28.2,17.9,2023_Belgium
SAR,22.0,85.999,HARD,12.0,2.0,48.650000000000006,29.0,2023_Hungary
VER,21.0,84.012,MEDIUM,24.0,1.0,48.650000000000006,29.0,2023_Hungary
HAM,25.0,112.191,MEDIUM,13.0,2.0,28.2,17.9,2023_Belgium
RIC,36.0,113.215,MEDIUM,14.0,3.0,28.2,17.9,2023_Belgium
PER,20.0,93.202,MEDIUM,20.0,1.0,29.8,21.5,2023_Britain
PER,14.0,118.255,HARD,1.0,2.0,29.9,18.7,2024_China
TSU,10.0,81.591,HARD,10.0,2.0,47.25,21.6,2024_Monaco
HAM,73.0,87.735,INTERMEDIATE,19.0,3.0,39.5,25.3,2023_Monaco
